t (s),Intensity
0,1.00E-100
1.36718E-07,1.00E-100
1.36719E-07,0.000883826
1.36744E-07,0.002717065
1.36769E-07,0.007575677
1.36794E-07,0.019157172
1.36819E-07,0.043936934
1.36844E-07,0.091393755
1.36869E-07,0.172421624
1.36894E-07,0.295022656
1.36919E-07,0.457833362
1.36944E-07,0.644388725
1.36969E-07,0.822577562
1.36994E-07,0.9523448
1.37019E-07,1
1.37044E-07,0.9523448
1.37069E-07,0.822577562
1.37094E-07,0.644388725
1.37119E-07,0.457833362
1.37144E-07,0.295022656
1.37169E-07,0.172421624
1.37194E-07,0.091393755
1.37219E-07,0.043936934
1.37244E-07,0.019157172
1.37269E-07,0.007575677
1.37294E-07,0.002717065
1.37319E-07,0.000883826
1.3732E-07,0
1.00E-06,0
